"module name","license","repository"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.5","MIT","https://github.com/babel/babel"
"@babel/core@7.28.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.28.5","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.5","MIT","https://github.com/babel/babel"
"@babel/types@7.28.5","MIT","https://github.com/babel/babel"
"@cacheable/memory@2.0.6","MIT","https://github.com/jaredwray/cacheable"
"@cacheable/utils@2.3.2","MIT","https://github.com/jaredwray/cacheable"
"@cloudflare/kv-asset-handler@0.4.1","MIT OR Apache-2.0","https://github.com/cloudflare/workers-sdk"
"@csstools/css-parser-algorithms@3.0.5","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-syntax-patches-for-csstree@1.0.20","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-tokenizer@3.0.4","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/media-query-list-parser@4.0.3","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/selector-specificity@5.0.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@dual-bundle/import-meta-resolve@4.2.1","MIT","https://github.com/un-es/import-meta-resolve"
"@dxup/nuxt@0.2.2","MIT","https://github.com/KazariEX/dxup"
"@dxup/unimport@0.1.2","MIT","https://github.com/KazariEX/dxup"
"@esbuild/linux-x64@0.25.12","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.9.0","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.2","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.21.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.4.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.17.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.3","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.39.1","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.7","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.4.1","Apache-2.0","https://github.com/eslint/rewrite"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.7","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@img/colour@1.0.0","MIT","https://github.com/lovell/colour"
"@img/sharp-libvips-linux-x64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-libvips-linuxmusl-x64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-linuxmusl-x64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@ioredis/commands@1.4.0","MIT","https://github.com/ioredis/commands"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@keyv/bigmap@1.3.0","MIT","https://github.com/jaredwray/keyv"
"@keyv/serialize@1.1.1","MIT","https://github.com/jaredwray/keyv"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@mapbox/node-pre-gyp@2.0.3","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@mdx-js/loader@3.1.1","MIT","https://github.com/mdx-js/mdx"
"@mdx-js/mdx@3.1.1","MIT","https://github.com/mdx-js/mdx"
"@mdx-js/react@3.1.1","MIT","https://github.com/mdx-js/mdx"
"@next/env@16.0.6","MIT","https://github.com/vercel/next.js"
"@next/mdx@16.0.6","MIT","https://github.com/vercel/next.js"
"@next/swc-linux-x64-gnu@16.0.6","MIT","https://github.com/vercel/next.js"
"@next/swc-linux-x64-musl@16.0.6","MIT","https://github.com/vercel/next.js"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@nuxt/cli@3.30.0","MIT","https://github.com/nuxt/cli"
"@nuxt/devalue@2.0.2","MIT","https://github.com/nuxt/devalue"
"@nuxt/devtools-kit@3.1.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools-wizard@3.1.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/devtools@3.1.1","MIT","https://github.com/nuxt/devtools"
"@nuxt/kit@3.20.1","MIT","https://github.com/nuxt/nuxt"
"@nuxt/kit@4.2.1","MIT","https://github.com/nuxt/nuxt"
"@nuxt/nitro-server@4.2.1","MIT","https://github.com/nuxt/nuxt"
"@nuxt/schema@4.2.1","MIT","https://github.com/nuxt/nuxt"
"@nuxt/telemetry@2.6.6","MIT","https://github.com/nuxt/telemetry"
"@nuxt/vite-builder@4.2.1","MIT","https://github.com/nuxt/nuxt"
"@oxc-minify/binding-linux-x64-gnu@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-minify/binding-linux-x64-musl@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-parser/binding-linux-x64-gnu@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-parser/binding-linux-x64-musl@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-project/types@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-transform/binding-linux-x64-gnu@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@oxc-transform/binding-linux-x64-musl@0.96.0","MIT","https://github.com/oxc-project/oxc"
"@parcel/watcher-linux-x64-glibc@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher-linux-x64-musl@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher-wasm@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@parcel/watcher@2.5.1","MIT","https://github.com/parcel-bundler/watcher"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@polka/url@1.0.0-next.29","MIT","https://github.com/lukeed/polka"
"@poppinss/colors@4.1.5","MIT","https://github.com/poppinss/colors"
"@poppinss/dumper@0.6.5","MIT","https://github.com/poppinss/dumper"
"@poppinss/exception@1.2.2","MIT","https://github.com/poppinss/exception"
"@rolldown/pluginutils@1.0.0-beta.50","MIT","https://github.com/rolldown/rolldown"
"@rollup/plugin-alias@5.1.1","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-commonjs@28.0.9","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-inject@5.0.5","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-json@6.1.0","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-node-resolve@16.0.3","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-replace@6.0.3","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-terser@0.4.4","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@5.3.0","MIT","https://github.com/rollup/plugins"
"@rollup/rollup-linux-x64-gnu@4.53.3","MIT","https://github.com/rollup/rollup"
"@rollup/rollup-linux-x64-musl@4.53.3","MIT","https://github.com/rollup/rollup"
"@sindresorhus/is@7.1.1","MIT","https://github.com/sindresorhus/is"
"@sindresorhus/merge-streams@4.0.0","MIT","https://github.com/sindresorhus/merge-streams"
"@speed-highlight/core@1.2.12","CC0-1.0","https://github.com/speed-highlight/core"
"@swc/helpers@0.5.15","Apache-2.0","https://github.com/swc-project/swc"
"@types/debug@4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree-jsx@1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hast@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdast@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdx@2.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@24.10.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-path@7.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/resolve@1.20.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@ungap/structured-clone@1.3.0","ISC","https://github.com/ungap/structured-clone"
"@unhead/vue@2.0.19","MIT","https://github.com/unjs/unhead"
"@vercel/analytics@1.6.0","MPL-2.0","https://github.com/vercel/analytics"
"@vercel/nft@0.30.4","MIT","https://github.com/vercel/nft"
"@vitejs/plugin-vue-jsx@5.1.2","MIT","https://github.com/vitejs/vite-plugin-vue"
"@vitejs/plugin-vue@6.0.2","MIT","https://github.com/vitejs/vite-plugin-vue"
"@volar/language-core@2.4.23","MIT","https://github.com/volarjs/volar.js"
"@volar/source-map@2.4.23","MIT","https://github.com/volarjs/volar.js"
"@vue-macros/common@3.1.1","MIT","https://github.com/vue-macros/vue-macros"
"@vue/babel-helper-vue-transform-on@2.0.1","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-jsx@2.0.1","MIT","https://github.com/vuejs/babel-plugin-jsx"
"@vue/babel-plugin-resolve-type@2.0.1","MIT","https://github.com/vuejs/babel-plugin-jsx"
